CustomerID,StateProvinceName,CountryRegionName,Education,Occupation,Gender,MaritalStatus,NumberCarsOwned,TotalChildren,BikeBuyer,AgeRange,log_YearlyIncome
11000,Queensland,Australia,Bachelors ,Professional,M,M,0,2,0,Between 25 and 45,11.834624832399177
11001,Victoria,Australia,Bachelors ,Professional,M,S,1,3,1,Between 25 and 45,11.524270861870047
11002,Tasmania,Australia,Bachelors ,Professional,M,M,1,3,0,Between 25 and 45,11.428945851174953
11003,New South Wales,Australia,Bachelors ,Professional,F,S,1,0,0,Between 25 and 45,11.370070744884822
11004,New South Wales,Australia,Bachelors ,Professional,F,S,4,5,1,Between 25 and 45,11.437889369935991
11005,Queensland,Australia,Bachelors ,Professional,M,S,1,0,1,Between 25 and 45,11.544414442060171
11006,New South Wales,Australia,Bachelors ,Professional,F,S,1,0,1,Between 25 and 45,11.347531819196922
11007,Victoria,Australia,Bachelors ,Professional,M,M,2,3,1,Between 25 and 45,11.606042332131036
11008,Victoria,Australia,Bachelors ,Professional,F,S,3,4,1,Between 25 and 45,11.38514891002807
11009,Queensland,Australia,Bachelors ,Professional,M,S,1,0,0,Between 25 and 45,11.574951457349274
11010,Queensland,Australia,Bachelors ,Professional,F,S,1,0,0,Between 25 and 45,11.305827492074487
11011,Queensland,Australia,Bachelors ,Professional,M,M,4,4,1,Between 25 and 45,11.451358524310818
11012,Washington,United States,Bachelors ,Management,F,M,2,2,1,Between 25 and 45,11.505346819446679
11013,Oregon,United States,Bachelors ,Management,M,M,3,2,0,Between 25 and 45,11.66012921350686
11014,Washington,United States,Bachelors ,Management,F,S,3,3,0,Between 25 and 45,11.563209750479489
11015,California,United States,Partial College,Skilled Manual,F,S,1,0,0,Under 25,10.596909695290504
11016,California,United States,Partial College,Skilled Manual,M,M,1,0,0,Under 25,10.753809407468072
11019,British Columbia,Canada,High School,Skilled Manual,M,S,2,0,1,Under 25,10.80881844417394
11020,British Columbia,Canada,High School,Skilled Manual,M,S,2,0,0,Under 25,10.688689620179726
11023,California,United States,Partial College,Skilled Manual,M,M,1,0,0,Under 25,10.820697861469666
11024,California,United States,Partial College,Skilled Manual,M,M,2,0,0,Under 25,11.421643162366315
11025,Queensland,Australia,Partial High School,Clerical,M,M,2,2,0,Between 45 and 55,10.099629828347394
11026,New South Wales,Australia,Partial College,Clerical,M,S,2,2,0,Between 45 and 55,11.033356230854793
11027,Victoria,Australia,Partial College,Clerical,M,M,2,2,0,Between 45 and 55,10.806672781231804
11028,New South Wales,Australia,Partial College,Clerical,F,M,2,2,0,Between 45 and 55,10.693489174459955
11031,New South Wales,Australia,High School,Skilled Manual,F,M,2,4,0,Between 45 and 55,9.843896771122491
11032,Victoria,Australia,High School,Skilled Manual,F,M,2,4,0,Between 45 and 55,9.67161854490356
11033,New South Wales,Australia,High School,Skilled Manual,M,M,2,4,0,Between 45 and 55,10.486317508785204
11034,New South Wales,Australia,High School,Skilled Manual,F,M,2,4,0,Between 45 and 55,10.275637144113018
11035,Victoria,Australia,Partial High School,Clerical,F,M,2,2,0,Between 45 and 55,9.36913738372318
11036,California,United States,Partial College,Skilled Manual,F,M,2,0,0,Under 25,11.349111579732014
11037,British Columbia,Canada,Partial High School,Clerical,F,S,2,0,0,Under 25,10.792427642387484
15127,New South Wales,Australia,Bachelors ,Professional,M,S,2,0,1,Under 25,11.771412993830227
11040,Washington,United States,Partial College,Skilled Manual,M,M,2,0,0,Under 25,10.937525763878996
